店舗名,店舗住所,業種
稲葉酒造 ,つくば市 沼田 1485,各種小売 / 酒類・リカーショップ
近江屋酒店 ,つくば市 北条 206,各種小売 / 酒類・リカーショップ
神橋亭 ,つくば市 筑波 722,各種小売 / 食品販売店
お土産 神田家 お土産 神田家,つくば市 筑波 722番地,各種小売 / 食品販売店
筑波山縁むすび ,つくば市 筑波1223ー8,各種小売 / 食品販売店
筑波山 観光案内所,つくば市 筑波 1222-2,各種小売 / 食品販売店
筑波山 おもてなし館,つくば市 沼田1688,各種小売 / 食品販売店
吉屋 ,つくば市 北条 88,各種小売 / 食品販売店
万屋巡堂 万屋巡堂,つくば市 北条145,各種小売 / 食品販売店
iriai tempo iriai tempo,つくば市 北条144,各種小売 / 食品販売店
筑波山 つくば観光コンベンション協会,つくば市 筑穂1-10-4 大穂庁舎3階,各種小売 / 食品販売店
つくばねカントリークラブ ,つくば市 神郡 2726番地,娯楽 / ゴルフ場
筑波国際カントリークラブ ,つくば市 平沢 1257,娯楽 / ゴルフ場
つくばわんわんランド つくばわんわんランド,つくば市 沼田 579,娯楽 / テーマパーク・遊園地・水族館・博物館
