店舗名,店舗住所,業種
Nail Salon Libere ,つくば市 二の宮 1-25-11 木村ロイヤルマンション4-101,サービス / エステティックサロン
小顔矯正サロン nagi ,つくば市 百家 700,サービス / エステティックサロン
つくばジム 健幸エンターテイメント株式会社,つくば市 金田600,サービス / スポーツ施設・フィットネスクラブ
DIVERSEGOLF DIVERSEGOLF,つくば市 遠東1111-19,サービス / スポーツ施設・フィットネスクラブ
TRIMGYM ,つくば市 竹園 2-11-15 柏ファミリープラザテナント1号,サービス / スポーツ施設・フィットネスクラブ
JOYFITつくば竹園 ,つくば市 竹園 1-3-1ヨークベニマル2階,サービス / スポーツ施設・フィットネスクラブ
mahoroba mahoroba  -パーソナルヨガスタジオ,つくば市 研究学園 5-13-8 アドバンスつくば202,サービス / スポーツ施設・フィットネスクラブ
BODY BRAIN MIND BODY BRAIN MIND,つくば市 流星台46-10,サービス / スポーツ施設・フィットネスクラブ
BCS  baseball  performance つくば店,つくば市 栗原 3998,サービス / スポーツ施設・フィットネスクラブ
BODY STOIC ,つくば市 東新井 19-5 つくばサンヨービル1-B,サービス / スポーツ施設・フィットネスクラブ
BODY STOIC つくば BODY STOIC つくば,つくば市 東新井19-5 つくばサンヨービル1-B,サービス / スポーツ施設・フィットネスクラブ
a blooming nature yoga68 a blooming nature yoga68 つくば,つくば市 東光台2-10-5,サービス / スポーツ施設・フィットネスクラブ
佐藤現平 MBGYM,つくば市 小野崎 615-3,サービス / スポーツ施設・フィットネスクラブ
MBGYM MBGYM,つくば市 小野崎615-3,サービス / スポーツ施設・フィットネスクラブ
BodyBrain研究学園 BodyBrain研究学園,つくば市 学園の森3-29-6 Rupo A棟1,サービス / スポーツ施設・フィットネスクラブ
ideal space ideal space,つくば市 学園の森 3-20 meetoco N 1F,サービス / スポーツ施設・フィットネスクラブ
ISC ISCアイエスシー,つくば市 学園の森 2-16-2 学園の森TOWN B-104,サービス / スポーツ施設・フィットネスクラブ
root:Max24 root:Max24,つくば市 天久保2-22-11,サービス / スポーツ施設・フィットネスクラブ
WIT ,つくば市 天久保 2-18-1 桐の葉モール2F,サービス / スポーツ施設・フィットネスクラブ
Inner Me ,つくば市 大角豆 2282-1,サービス / スポーツ施設・フィットネスクラブ
カーブス つくば大角豆,つくば市大角豆 2012-678 アルカサール内,サービス / スポーツ施設・フィットネスクラブ
fan’sつくば店 fan’sつくば店,つくば市 吾妻1丁目8-10 BiViつくば4F,サービス / スポーツ施設・フィットネスクラブ
T BOX personal training studio T BOX personal training studio,つくば市 吾妻 1-15-1 大成ビル筑波司法会館103号室,サービス / スポーツ施設・フィットネスクラブ
Fight Box Fitness ,つくば市 並木 4丁目4-2 並木ショッピングセンター109,サービス / スポーツ施設・フィットネスクラブ
加圧トレーニングサロン Un Reve 加圧トレーニングサロン アンレーヴ,つくば市 上ノ室 516-2 宮本テナント201,サービス / スポーツ施設・フィットネスクラブ
REVIAみどりの店 REVIAみどりの店,つくば市 みどりの2丁目17-14,サービス / スポーツ施設・フィットネスクラブ
Make Core Amazing 優しいダイエット専門プライベートパーソナルジム,つくば市 みどりの1丁目 32−3 マストライフみどりのA-111,サービス / スポーツ施設・フィットネスクラブ
オーシャンフィットネスつくば ,つくば市 さくらの森 25-5 さくらの杜ショッピングセンター内,サービス / スポーツ施設・フィットネスクラブ
パーソナルジム レクスト つくば店,つくば市 さくらの森 10-3 YA-style D号室,サービス / スポーツ施設・フィットネスクラブ
root:Maxパーソトレーニン root:Maxパーソトレーニン,つくば市 二の宮3-24-7 第二洞峰ビル3階,サービス / スポーツ施設・フィットネスクラブ
TAC 洞峰,つくば市 二の宮2-20,サービス / スポーツ施設・フィットネスクラブ
ジョッキーズシェイプ ,つくば市 二の宮 1-13-2 クラモチテナント302,サービス / スポーツ施設・フィットネスクラブ
つくばブルーベリーピクニック つくばブルーベリーピクニック,つくば市 鬼ケ窪1741,サービス / その他
整体きむらさんち 整体きむらさんち,つくば市 高須賀 476-5,サービス / その他
ひふみ杏 みんなの居場所,つくば市 高野台 2-15-28 メープルコート1Fテナント,サービス / その他
BEARD GYM BEARD GYM online,つくば市高野台 2-11-6 ソレアードTSUKUBA 102,サービス / その他
湯田接骨院 湯田接骨院,つくば市 高見原4-5-1,サービス / その他
つくば自動車学校 ,つくば市 高見原 3-16-1,サービス / その他
マッサージサロン鳩居堂 ,つくば市 高見原 2-8-110,サービス / その他
動物の園 ,つくば市 高良田 415,サービス / その他
relaxation niko. ,つくば市 面野井 65-8,サービス / その他
リッチリメイク整骨院 リッチリメイク整骨院,つくば市 陣場E24街区12画地13画地 BNDCross 101号室,サービス / その他
KULOR balance body design KULOR Balance Body Design,つくば市 長高野 505-3,サービス / その他
整体サロン ウッドベル 整体サロン ウッドベル,つくば市 金田901,サービス / その他
Clan photography ,つくば市 金田 901,サービス / その他
なっちゃんクリーン なっちゃんクリーン,つくば市 遠東382-8,サービス / その他
マス・ガイアテニスクラブ ,つくば市 赤塚 502-1,サービス / その他
DAN’S TABLE DAN’S TABLE,つくば市 谷田部4403番地5,サービス / その他
つくばラジコンパーク つくばラジコンランド,つくば市 谷田部4385-2 つくばラジコンランド,サービス / その他
インドアゴルフ&ダイニングCHIC インドアゴルフ&ダイニングCHIC,つくば市 谷田部2958高野ビル1階,サービス / その他
Yuan ,つくば市 谷田部 2417-103(陣場F7街区8),サービス / その他
コンビニエンス引越センター ,つくば市 観音台 1-17-22,サービス / その他
株式会社B.H support ,つくば市 観音台 1-11-14,サービス / その他
Healing Salon ぷち・えーる Healing Salon ぷち・えーる,つくば市 高野台 3-19-13,サービス / その他
KIMONOさくら きものサロンSAKURA,つくば市 学園の森2-23-1 サンライズテナント103 サンライズテナント103,サービス / その他
株式会社井川建築設計事務所 つくばラボ,つくば市 苅間655-2,サービス / その他
rooms rooms,つくば市 苅間 2257-2,サービス / その他
整体院かけはし 整体院かけはし,つくば市 花畑3-9-1 シュガーハイツ102,サービス / その他
ひばり整体 ひばり整体,つくば市 花畑3-9-1 シュガーハイツ102,サービス / その他
FADE and LINE メンズサロン FADE and LINE つくば,つくば市 花畑3-5-1 パルネット塚本103,サービス / その他
SECRET ,つくば市 花畑 3-32-16,サービス / その他
レインボーライフ ,つくば市 花畑 3-21-14 クルスビル201,サービス / その他
女性専用整体院&セラピースクール ディースブレス ,つくば市 花畑 2-6-6 ルミナス花畑205,サービス / その他
蜂駆除屋ビートルズ 蜂駆除屋ビートルズ,つくば市 花畑1-10-4 レジデンスあすか202号,サービス / その他
ディアステージつくばフォレストテラス ,つくば市 花室大根 1152,サービス / その他
iメディアサービス iメディアサービス,つくば市 花室939-1 アーバン花室ビル103,サービス / その他
マカナクーラニ ,つくば市 花室 939-1 アーバン花室ビル101 マカナアロハ,サービス / その他
SATOSHIODAKURAINTERNATIONALHAIRSALON SATOSHIODAKURAINTERNATIONALHAIRSALON,つくば市 花室655-4,サービス / その他
アンシャンテ ナチュレ,つくば市 花室 1597ー1,サービス / その他
リューモ リューモ,つくば市 花室1029,サービス / その他
住居ハウス 住居ハウス,つくば市 自由ケ丘820-12,サービス / その他
健康庵つくば療術院 ,つくば市 緑が丘 24-10,サービス / その他
FPオフィス ライフワークス ,つくば市 篠崎 931-4,サービス / その他
つくほカイロプラクティックセンター つくほカイロプラクティックセンター,つくば市 筑穂 2-5-11 KSIII,サービス / その他
つくば整体momixつくば本院 ,つくば市 竹園 3-21-1-510 516,サービス / その他
タイ古式 ムートン タイ古式 ムートン,つくば市 竹園 2-6-1,サービス / その他
ひばり整体 ひばり整体,つくば市 竹園2-4-10 村田ビル104,サービス / その他
NaturalBase NaturalBase,つくば市 竹園2丁目13-3 オリゾンテ103,サービス / その他
タイ古式マッサージ チェンマイ タイ古式マッサージ チェンマイ,つくば市竹園 2-11-16 高橋ビル101,サービス / その他
YODA Studio 竹園店,つくば市 竹園 1-9-7 林ビル202,サービス / その他
CBC トータルボディケア専門店 アンフィル トータルボディケア専門店 アンフィル,つくば市 稲荷前 28-13 101号室,サービス / その他
Chill Spot チルスポット,つくば市 稲荷前 20-7 沼尻マンション105,サービス / その他
りらくる つくば稲荷前店,つくば市 稲荷前12-2,サービス / その他
デウィー デウィー,つくば市 研究学園5-6-8 クレール1F,サービス / その他
N.pilates N.Pilates〜痛み・ゆがみ・姿勢が変わるピラティススタジオ〜,つくば市 研究学園 5丁目4-8 メゾン エチュード 102,サービス / その他
カラオケバックス カラオケバックス,つくば市 研究学園 5-13-11 MYU・MYU3階,サービス / その他
Atelier como Atelier como,つくば市 研究学園4-6-3,サービス / その他
セルフホワイトニングサロン歯サロ ,つくば市 研究学園 1-2-15 Aj-HillsE号,サービス / その他
ライフスタジオ つくば,つくば市 田倉 5192番地36,サービス / その他
さとう写真館 ,つくば市 玉取 2290-1,サービス / その他
BULKS BULKSパーソナルトレーニングジム,つくば市 流星台 45-1,サービス / その他
己書はるかぜ道場 ,つくば市 水守 2140-8,サービス / その他
赤帽あっ急 茨城つくば 赤帽あっ急,つくば市 水守 2140-8,サービス / その他
つくばFC万博コートレンタル つくばFC万博コートレンタル,つくば市 水堀550-1,サービス / その他
株式会社COLORWORK ,つくば市 榎戸 783-14,サービス / その他
リラクゼーションMam ,つくば市 森の里 35−12,サービス / その他
T-1インドアテニススクール ,つくば市 梅園 2丁目17番地8,サービス / その他
増渕カイロプラクティック院 総健美館つくば店,つくば市 桜 3-4-1 ルヴィオ1-704,サービス / その他
牛久カッパ整体院 つくば桜店,つくば市 桜2丁目-39-2,サービス / その他
リラクゼーション豊 ,つくば市 桜 2-38-12,サービス / その他
ホリスティックタイマッサージサロンHoailona ,つくば市 桜 1-13-6,サービス / その他
ONE DROP整体院 ONEDROP整体院,つくば市 桜 1ー13ー6,サービス / その他
グリッタープレイス サイエンスファーム  SCIENCE FARM,つくば市 栄406-3,サービス / その他
La famille ,つくば市 松野木 99-38 TM5 202,サービス / その他
LilyVell ,つくば市 松野木 162-28,サービス / その他
OjimaFlowerDesignOffice ,つくば市 松野木 152-83,サービス / その他
日本カイロプラクティックセンターつくば ANNEX,つくば市 松代5-8-14,サービス / その他
rion. rion.,つくば市 松代 5-2-29 アイビースクエア103,サービス / その他
HAWMEA HAWMEA,つくば市 松代 4-12-12 松代パークハイツ203,サービス / その他
Bijou+つくば店 つくば店,つくば市 松代 1-14-11 サンヒルズ松代202,サービス / その他
日本カイロプラクティックセンターつくば 本店,つくば市 松代 1丁目13番地10,サービス / その他
大人のための癒しと健康のサロンFine 大人のための癒しと健康のサロンFine,つくば市 東新井8-12 アルーアビル1階,サービス / その他
Healing Salon HISUI ,つくば市 東新井 7-10,サービス / その他
ブライダルハウス つくば,つくば市 東新井 38-8,サービス / その他
りらくる つくば店,つくば市 東新井32-8,サービス / その他
BLOSSON ,つくば市 東光台 3丁目20番地2,サービス / その他
リラクゼーションサロン With リラクゼーションサロン With,つくば市 東光台3-1-18 田中ハイツ1階,サービス / その他
DogSalonAVISIA DogSalonAVISIA,つくば市 東光台2-10-11,サービス / その他
LAMP BODY MAKE LAMP,つくば市 東光台 2-10-11,サービス / その他
シャープマーケティングジャパン つくばサービスステーション,つくば市 東光台1丁目6-3,サービス / その他
AROMA HEUREUX ,つくば市 東光台 1-24-1,サービス / その他
フォレスト整体院 ,つくば市 東 2-5-13,サービス / その他
croire つくば店,つくば市 東 2-3-6 リッシェル筑波203,サービス / その他
villa つくば国道354号店 villa つくば国道354号店,つくば市 東2-31-9 巴ビル2階E号室,サービス / その他
自然整体達者 ,つくば市 東 2-31-8 巴ビルパート2105号,サービス / その他
リラクゼーションサロンもみもみ リラクゼーションサロンもみもみ,つくば市 東2-31-16 パルネット巴103,サービス / その他
improve improve,つくば市 春風台36-45 ラウレアコート101,サービス / その他
カラオケBanBan カラオケBanBanつくば店,つくば市 春日4-1-13,サービス / その他
カイロプラクティックアレスグーテ カイロプラクティックアレスグーテ,つくば市 春日2-22-1 エスポワール春日204,サービス / その他
つくばドッグランノアロ ,つくば市 手代木 62,サービス / その他
乗馬クラブ エトワール ,つくば市 島名 3594-6,サービス / その他
bodycareLink ,つくば市 島名 2921-1 ウエストパーク102,サービス / その他
シンコースポーツ つくばウェルネスパーク,つくば市 山木1562 つくばウェルネスパーク,サービス / その他
リラクゼーションサロンかえでの木 リラクゼーションサロンかえでの木,つくば市 小野崎1427-2,サービス / その他
リラクゼーションサロンMaopopo ,つくば市 小野崎1427-2,サービス / その他
Conditioning Base 5ive ,つくば市 小田 2993,サービス / その他
上筑波自動車学校 上筑波自動車学校,つくば市 寺具 1268-2,サービス / その他
M-STEP NPO法人M-STEP,つくば市 宝陽台 2-10,サービス / その他
おやこリンクサービス 一般社団法人おやこリンクサービス,つくば市 宝陽台 2番地10,サービス / その他
happily フォトスタジオ つくば学園の森店,つくば市 学園の森3−43−7 TOCO PinoC・D号室,サービス / その他
リラクゼーションサロンほぐし亭 つくば店,つくば市 学園の森 3-35-7,サービス / その他
ほぐし亭 つくば店 ほぐし亭 つくば店,つくば市 学園の森3丁目35-7 プリンセス学園の森 104,サービス / その他
Chantilly ,つくば市 学園の森 3-20-1 MeeToco N 2階,サービス / その他
PIC つくば店,つくば市 学園の森 2丁目20番地3,サービス / その他
学園の森整体院 ,つくば市 学園の森 2-16-2 A-104,サービス / その他
レムリアナ ,つくば市 学園の森 1-38-2 ミネルバテナント2階B号室,サービス / その他
RELAXATION BLUEBERRY ブルーベリー学園の森店,つくば市 学園の森 1-14-5,サービス / その他
i Presence Consulting ,つくば市 天久保 3-7-4 レジデンスひかり103,サービス / その他
コミュニティスペースシベリアン コミュニティスペースシベリアン,つくば市 天久保 3丁目5番3号,サービス / その他
Tsukuba Place Lab Tsukuba Place Lab,つくば市 天久保 3-21-3 星谷ビル2-A,サービス / その他
免キラつくばベース 免キラベース,つくば市 天久保 3丁目19番9号 Hi ValleyII-103,サービス / その他
めんとるステーションつくば めんとるステーションつくば,つくば市 天久保 2丁目7−19,サービス / その他
フォトスタジオcocoa フォトスタジオCocoa つくば店,つくば市 天久保2 20ー1,サービス / その他
二十歳振袖館Az・スタジオcocoa 二十歳振袖館Az つくば本店,つくば市 天久保2 17ー4,サービス / その他
SF筑波大学店 東洋国際物流・SF筑波大学店,つくば市 天久保 1-17-15,サービス / その他
ジャスミン タイマッサージ ,つくば市 天久保 1-10-26 T-BOXビル102,サービス / その他
ビエリス ,つくば市 大角豆 678,サービス / その他
サニーオートつくば ,つくば市 大角豆 2012-773,サービス / その他
カルチャースタジオまなび ,つくば市 大角豆 2012-678,サービス / その他
カイロプラクティック たいよう つくばQiLaLa店,つくば市 大角豆 2012-125,サービス / その他
美容カイロ【QiLaLa】 美容カイロ【QiLaLa】,つくば市 大角豆2012-125 1F,サービス / その他
QiLaLa 美容カイロプラクティックQiLaLa,つくば市 大角豆 2012-125,サービス / その他
カイロプラクティックキララ カイロプラクティックキララ,つくば市 大角豆2012-125 1F,サービス / その他
カイロプラクティック美雅 ,つくば市 大角豆 2012−125,サービス / その他
株式会社 幸和義肢研究所 ,つくば市 大白硲 341-1,サービス / その他
VAN SICKEL FARM VAN SICKEL FARM,つくば市 大曽根鹿島2549-1,サービス / その他
パナケイア 癒 パナケイア 癒,つくば市 吾妻3丁目7-14 エスワンビル1ーE,サービス / その他
インペリアル ,つくば市 吾妻 3丁目18−7 ミライエ吾妻201,サービス / その他
PANACARE Tukuba,つくば市 吾妻 3-10-3 マナヘア1階,サービス / その他
iCrackedつくば iCrackedつくば,つくば市 吾妻1-7-1 トナリエクレオ1階,サービス / その他
ボルダリングジムモンキーマジックつくばQ't ,つくば市 吾妻 1-6-1 トナリエつくばスクエアQ't3階,サービス / その他
上方商事 上方商事,つくば市 吉瀬1891,サービス / その他
つくば文化郷 台湾カフェ小玉(Taiwan Cafe Kotama),つくば市 吉瀬1876-1 文化郷別館1F,サービス / その他
RION ,つくば市 古来 896-1,サービス / その他
司法書士いのけんいち事務所 ,つくば市 古来 404-1,サービス / その他
昭和管工事 ,つくば市 倉掛 858番地1,サービス / その他
デュオヒルズつくば学園都市管理組 デュオヒルズつくば学園都市管理組,つくば市 並木2-9 デュオヒルズつくば学園都市,サービス / その他
JOGA FUTSALPARK TUKUBA ,つくば市 下横場 427-2,サービス / その他
天川ゴルフ練習場 ,つくば市 下広岡 752-2,サービス / その他
服薬ケア医療学会 服薬ケア医療学会,つくば市 下広岡410-78,サービス / その他
T1アウトドアコート T1アウトドアコート,つくば市 下広岡1054-46,サービス / その他
ジャーダイビングクラブつくば店 ジャーダイビングクラブつくば店,つくば市 下広岡1040-14 ジョイプラザ2-103,サービス / その他
ふらっと ,つくば市 下平塚 355-1,サービス / その他
にれ工房 ,つくば市 下平塚 355-1,サービス / その他
飯田治療院 ,つくば市 下岩崎 1199,サービス / その他
カラオケBanBan カラオケBanBanつくば梅園店,つくば市 下原字池向379-4,サービス / その他
Hachinos ,つくば市 大字上河原崎下河原崎入会地 4番地252,サービス / その他
LUCY RESORT LUCY RESORT,つくば市 上河原崎39-1,サービス / その他
リラクゼーションサロン ラ・フロレゾン La.floraison,つくば市 上ノ室1662-2,サービス / その他
リラクゼーション ラ・フロレゾン リラクゼーション ラ・フロレゾン,つくば市 上ノ室1662-2,サービス / その他
Office Magenta ,つくば市 上ノ室 1263-4,サービス / その他
アート引越センター つくば支店,つくば市万博記念公園西 G5街区1区画,サービス / その他
ねこみみエンジニアリング ねこみみエンジニアリング,つくば市 みどりの東14-1 2B,サービス / その他
マッサージフォロー マッサージフォロー,つくば市 みどりの南6-1 シール2-202,サービス / その他
ニューバランス アリーナ ニューバランスアリーナ,つくば市 みどりの南25-8,サービス / その他
みどりのスポーツ整体院 みどりのスポーツ整体院,つくば市 みどりの中央74-6,サービス / その他
ハイフ&骨盤矯正専門店 整体アロマサロンmiracleみどりの店 小顔ハイフ・痩身ハイフ&骨盤矯正専門 整体アロマサロンmiracleみどりの店,つくば市 みどりの 1-1-4 グランドパレス708,サービス / その他
ほぐし屋エミゼーション ,つくば市 みどりの 1-1-4 グランドパレスNS-10 4階410号,サービス / その他
up Tsukuba ,つくば市 つくば市 吾妻1-10-1 つくばセンタービル105,サービス / その他
ステップゴルフプラスつくばさくらの森店 ステップゴルフプラスつくばさくらの森店,つくば市 さくらの森25-5,サービス / その他
Kohaku ,つくば市 さくらの森2ー2 カーサ・フェリーチェさくらの杜1F,サービス / その他
Lavender Fairy Lavender Fairy,つくば市 さくらの森19-8,サービス / その他
EXEED EXEED,つくば市 六斗1011-3,サービス / その他
Muse de Repos ,つくば市 二の宮 3-25-25 ハッピーオレンジ 102,サービス / その他
つくるひとcafe つくるひとcafe,つくば市 二の宮2-5-20,サービス / その他
整体院もみのき 筑波店,つくば市 二の宮 2-17-4 Ninomiya Cube 1B (1階左側),サービス / その他
A.switch A.switch,つくば市 二の宮2-17-4 NinomiyaCube1-A,サービス / その他
Prana Prana,つくば市 二の宮2-17-10 パークサイド洞峰202号室,サービス / その他
カシュカシュ 店頭,つくば市 二の宮 2-17-10 A号,サービス / その他
リラクゼーション&整体PayForward リラクゼーション&整体PayForward,つくば市 二の宮2-14-3 木村ロイヤルマンション2テナント102,サービス / その他
リラクゼーションサロンPlus+ リラクゼーションサロン Plus,つくば市 二の宮 2-13-3 フレンズ洞峰102,サービス / その他
LA BOÎTE STUDIO ,つくば市 二の宮 2丁目12-6 YAMADA2B,サービス / その他
のびのび商店 つくばストレッチ専門店 のびのび商店,つくば市 二の宮 2丁目12番地6 山田ビル1-B,サービス / その他
整体院Life Award ,つくば市 二の宮 1-25-5 グランドパレスNS-3 502,サービス / その他
バウム ,つくば市 二の宮一丁目13ー5,サービス / その他
VTG eyelash つくば本店,つくば市 二の宮 1丁目13-10,サービス / その他
ピュアハーブ ,つくば市 千現 1-13-3 パルスグランレジオつくば千現202,サービス / その他
Life is Training 運動処吉沼,つくば市 吉沼 字新地1117番地1 吉沼まちかどテラス,サービス / その他
leeway プライベート整体サロン leeway プライベート整体サロン,つくば市 花畑 3-15-8 サンビレッジ臼井C203,サービス / その他
